arquivo;estados;animacoes;quadros;icone;folha;overflow
Clothes\ClothesSaiyanGloves.dmi;8;23;62;32x32;256x256;
Clothes\ClothesSaiyanShoes.dmi;8;23;62;32x32;256x256;
Clothes\ClothesSaiyanSuit.dmi;12;33;128;32x32;384x352;
Clothes\ClothesTsurusennin.dmi;8;20;35;32x32;192x192;
Clothes\ClothesTuxedo.dmi;9;21;42;32x32;224x192;
Clothes\ClothesUnderwear.dmi;8;23;38;32x32;1216x32;
Clothes\ClothesWolfHermit.dmi;8;20;35;32x32;192x192;
Clothes\Clothes_ArmBands.dmi;9;21;42;32x32;224x192;
Clothes\Clothes_Bandana.dmi;8;23;62;32x32;256x256;
Clothes\Clothes_Belt.dmi;8;23;39;32x32;224x192;
Clothes\Clothes_BeltBuckle.dmi;8;23;39;32x32;224x192;
Clothes\Clothes_Book.dmi;8;23;62;32x32;256x256;
Clothes\Clothes_Boots.dmi;9;24;63;32x32;256x256;
Clothes\Clothes_Bustier.dmi;9;24;57;32x32;256x256;
Clothes\Clothes_Cape.dmi;8;23;62;32x32;256x256;
Clothes\Clothes_Cape2.dmi;8;20;41;32x32;224x192;
Clothes\Clothes_CelesRobe.dmi;9;24;41;32x32;224x192;
Clothes\Clothes_CloudSOLDIER.dmi;9;21;42;32x32;224x192;
Clothes\Clothes_FusionPads.dmi;8;20;35;32x32;192x192;
Clothes\Clothes_GiBottom.dmi;8;23;62;32x32;256x256;
Clothes\Clothes_GiCustom.dmi;8;20;41;32x32;224x192;
Clothes\Clothes_GiTop.dmi;8;23;62;32x32;256x256;
Clothes\Clothes_Gloves.dmi;8;23;62;32x32;256x256;
Clothes\Clothes_GohanGi.dmi;8;23;62;32x32;256x256;
Clothes\Clothes_GokuDBSSuit.dmi;10;28;75;32x32;288x288;
Clothes\Clothes_GokuJacketandPants.dmi;10;25;46;32x32;224x224;
Clothes\Clothes_Headband.dmi;7;19;58;32x32;256x256;
Clothes\Clothes_Headband2.dmi;9;27;70;32x32;288x256;
Clothes\Clothes_Heros_Hat.dmi;9;27;42;32x32;224x192;
Clothes\Clothes_Heros_Tunic.dmi;9;27;78;32x32;288x288;
Clothes\Clothes_Hit.dmi;8;23;62;32x32;256x256;
Clothes\Clothes_Hood.dmi;7;19;34;32x32;192x192;
Clothes\Clothes_Hooded Cloak 2.dmi;8;20;45;32x32;224x224;
Clothes\Clothes_HoodedCloak.dmi;12;36;180;32x32;448x416;
Clothes\Clothes_HoodlessCloak.dmi;12;36;152;32x32;416x384;
Clothes\Clothes_Jacket.dmi;7;19;58;32x32;256x256;
Clothes\Clothes_Jotaro.dmi;9;27;50;32x32;256x224;
Clothes\Clothes_JotaroCap.dmi;9;21;36;32x32;192x192;
Clothes\Clothes_KaioSuit.dmi;7;19;59;32x32;256x256;
Clothes\Clothes_KingVegetaCape.dmi;8;20;41;32x32;224x192;
Clothes\Clothes_LongSleeveShirt.dmi;7;19;59;32x32;256x256;
Clothes\Clothes_NamekianScarf.dmi;7;19;58;32x32;256x256;
Clothes\Clothes_Pants.dmi;7;19;59;32x32;256x256;
Clothes\Clothes_pantsuhat.dmi;9;27;42;32x32;224x192;
Clothes\Clothes_Ronin.dmi;8;20;41;32x32;224x192;
Clothes\Clothes_RoshiSuit.dmi;8;20;41;32x32;224x192;
Clothes\Clothes_SaiyanMask.dmi;8;20;41;32x32;224x192;
Clothes\Clothes_SaiyanSuit.dmi;10;25;74;32x32;288x288;
Clothes\Clothes_Sash.dmi;7;19;35;32x32;192x192;
Clothes\Clothes_Scarf.dmi;8;23;38;32x32;224x192;
Clothes\Clothes_Shades.dmi;8;20;41;32x32;224x192;
Clothes\Clothes_ShadesCool.dmi;9;24;141;32x32;384x384;
Clothes\Clothes_Shoes.dmi;7;19;34;32x32;192x192;
Clothes\Clothes_ShortSleeveShirt.dmi;7;19;58;32x32;256x256;
Clothes\Clothes_TankTop.dmi;7;19;59;32x32;256x256;
Clothes\Clothes_TankTopandPants.dmi;10;28;43;32x32;224x224;
Clothes\Clothes_TimePatrolCoat.dmi;9;24;45;32x32;224x224;
Clothes\Clothes_Turban.dmi;7;19;58;32x32;256x256;
Clothes\Clothes_TurtleSuit.dmi;12;30;93;32x32;320x320;
Clothes\Clothes_WaistRobe.dmi;8;20;35;32x32;192x192;
Clothes\Clothes_WarriorPants.dmi;8;20;35;32x32;192x192;
Clothes\Clothes_WhiteandRedMask.dmi;8;20;41;32x32;224x192;
Clothes\Clothes_Wristband.dmi;7;19;58;32x32;256x256;
Clothes\Clothing_WhiteandRedMask.dmi;8;20;41;32x32;224x192;
Clothes\Crane Hermit suit.dmi;8;20;35;32x32;192x192;
Clothes\DarkJango.dmi;8;20;41;32x32;224x192;
Clothes\DragonAkatsukiOutfit.dmi;12;27;84;32x32;320x288;
Clothes\El Hermano Suit.dmi;9;24;45;32x32;224x224;
Clothes\EyePatchL.dmi;8;20;41;32x32;224x192;
Clothes\EyePatchR.dmi;8;20;41;32x32;224x192;
Clothes\Eyes_Black.dmi;8;20;41;32x32;224x192;
Clothes\FlowingCape.dmi;9;24;123;32x32;384x352;
Clothes\GinsDynastyArmorRed.dmi;7;13;31;32x32;192x192;
Clothes\Gray suit.dmi;9;27;118;32x32;352x352;
Clothes\Halo.dmi;2;5;17;32x32;160x128;
Clothes\Hat.dmi;9;21;36;32x32;192x192;
Clothes\ItemPiccoloCape.dmi;10;22;43;32x32;224x224;
Clothes\ItemSunGlassess.dmi;9;21;36;32x32;192x192;
Clothes\Jacket2.dmi;9;21;42;32x32;224x192;
Clothes\Jiraya Chill Clothe black + blue.dmi;8;20;41;32x32;224x192;
Clothes\Jumpsuit.dmi;8;20;41;32x32;224x192;
Clothes\Kitsune.dmi;9;24;51;32x32;256x224;
Clothes\Leather pants white strips.dmi;11;26;63;32x32;256x256;
Clothes\Mandalorianhelmet.dmi;8;20;41;32x32;224x192;
Clothes\Marisa Hat.dmi;9;24;47;32x32;224x224;
Clothes\Mask.dmi;9;24;93;32x32;320x320;
Clothes\Mega Buster.dmi;2;5;5;32x32;96x64;
Clothes\Metamoran Vest.dmi;10;34;61;32x32;256x256;
Clothes\NekoCollar.dmi;8;23;62;32x32;256x256;
Clothes\Nier Torso.dmi;7;19;34;32x32;192x192;
Clothes\PhoenixFull.dmi;10;28;59;32x32;256x256;
Clothes\PhoenixFullMakyo.dmi;10;28;59;32x32;256x256;
Clothes\PhoenixFullMoonlight.dmi;10;28;59;32x32;256x256;
Clothes\PhoenixFullNegative.dmi;10;28;59;32x32;256x256;
Clothes\PhoenixFullNegativeMakyo.dmi;10;28;59;32x32;256x256;
Clothes\PhoenixPauldrons.dmi;10;28;59;32x32;256x256;
Clothes\PhoenixPauldronsMakyo.dmi;10;28;59;32x32;256x256;
Clothes\PhoenixTorso.dmi;10;28;59;32x32;256x256;
Clothes\PhoenixTorsoMakyo.dmi;10;28;59;32x32;256x256;
Clothes\potara.dmi;2;8;20;32x32;160x128;
Clothes\potaraleft.dmi;2;5;17;32x32;160x128;
Clothes\potararight.dmi;2;5;17;32x32;160x128;
Clothes\PredatorMask.dmi;9;24;39;32x32;224x192;
Clothes\PredatorWristBracerR.dmi;9;24;63;32x32;256x256;
Clothes\Pride Trooper Suit.dmi;11;32;53;32x32;256x224;
Clothes\Red cool Custom Suit(edited).dmi;10;22;99;32x32;320x320;
Clothes\ReibiFace.dmi;7;19;34;32x32;192x192;
Clothes\Side Cape.dmi;8;14;29;32x32;192x160;
Clothes\spacesuit.dmi;8;20;41;32x32;224x192;
Clothes\SSj4_Body.dmi;8;20;57;32x32;256x256;
Clothes\stonemask.dmi;11;26;45;32x32;224x224;
Clothes\Suraya Gi Two Piece.dmi;8;20;41;32x32;224x192;
Clothes\Sword_Trunks.dmi;6;18;54;32x32;256x224;
Clothes\Tail.dmi;6;15;22;32x32;160x160;
Clothes\TechHelm(1).dmi;11;35;54;32x32;256x224;
Clothes\Tien Clothes.dmi;8;20;41;32x32;224x192;
Clothes\ToSWingsBlack.dmi;4;10;56;32x32;256x224;
Clothes\TuffleTux.dmi;8;20;41;32x32;224x192;
Clothes\Tunic.dmi;8;20;41;32x32;224x192;
Clothes\Turtle Shell 2.dmi;7;16;56;32x32;256x224;
Clothes\Turtle Shell.dmi;1;4;16;32x32;128x128;
Clothes\VVGauntletBlack.dmi;9;24;48;32x32;224x224;
Clothes\Wristbands.dmi;8;20;41;32x32;224x192;
Clothes\Yellow suit.dmi;9;27;118;32x32;352x352;
Clothes\Zangya Boots.dmi;9;24;39;32x32;224x192;
Decor\Asteroid.dmi;1;1;4;32x32;64x64;
Decor\Asteroid2.dmi;4;4;4;32x32;64x64;
Decor\Blinker.dmi;1;1;2;32x32;64x32;
Decor\Blood Fountain.dmi;4;4;4;64x64;128x128;
Decor\Bulletin.dmi;1;1;1;32x32;32x32;
Decor\craterkb.dmi;1;8;8;64x64;192x192;
Decor\Craters.dmi;10;10;10;32x32;128x96;
Decor\craterseries.dmi;4;20;28;32x32;192x160;
Decor\DBV.dmi;1;1;1;250x200;250x200;
Decor\Dummy.dmi;3;6;10;32x32;320x32;
Decor\Edges1.dmi;3;3;3;32x32;96x32;
Decor\Edges2.dmi;3;3;3;32x32;96x32;
Decor\Edges3.dmi;3;3;3;32x32;96x32;
Decor\Edges4.dmi;3;3;3;32x32;96x32;
Decor\Edges5.dmi;3;3;3;32x32;96x32;
Decor\Edges6.dmi;3;3;3;32x32;96x32;
Decor\Giant Hole.dmi;1;1;1;32x32;32x32;
Decor\Graves.dmi;5;5;5;32x32;96x64;
Decor\Holiday.dmi;2;2;2;32x32;64x32;
Decor\Holy Fountain.dmi;4;4;4;64x64;128x128;
Decor\Plants.dmi;16;16;17;32x32;160x128;
Decor\plants2.dmi;38;38;38;32x32;224x192;
Decor\props.dmi;13;13;13;32x32;128x128;
Decor\Rising Rocks.dmi;1;1;4;32x32;128x32;
Decor\roomobj.dmi;8;8;8;32x32;96x96;
Decor\Sign.dmi;1;1;1;32x32;32x32;
Decor\Skin Title.dmi;1;1;1;32x32;32x32;
Decor\Surf1.dmi;2;2;14;32x32;448x32;
Decor\Surf2.dmi;2;2;8;32x32;256x32;
Decor\Surf3.dmi;2;2;29;32x32;928x32;
Decor\Surf4.dmi;2;2;8;32x32;256x32;
Decor\Surf5.dmi;2;2;10;32x32;320x32;
Decor\Surf6.dmi;2;2;14;32x32;448x32;
Decor\switches.dmi;4;4;4;32x32;64x64;
Decor\Whirlpool.dmi;1;1;2;32x32;64x32;
Hair\BlackSSJhair.dmi;8;23;62;32x32;256x256;
Hair\Hair Afro.dmi;8;20;41;32x32;224x192;
Hair\Hair Alucard.dmi;8;20;35;32x32;192x192;
Hair\Hair Bedhead.dmi;8;23;38;32x32;224x192;
Hair\Hair Bushy.dmi;7;19;34;32x32;192x192;
Hair\Hair Headband.dmi;7;19;40;32x32;224x192;
Hair\Hair Hitsugaya.dmi;8;23;54;32x32;256x224;
Hair\Hair Lan.dmi;8;23;62;32x32;256x256;
Hair\Hair Super 17.dmi;9;21;36;32x32;192x192;
Hair\Hair Vegeta Junior.dmi;8;23;62;32x32;256x256;
Hair\HairBlueMale.dmi;7;19;34;32x32;192x192;
Hair\HairBroly.dmi;8;23;38;32x32;224x192;
Hair\HairFemalePonytail.dmi;7;19;34;32x32;192x192;
Hair\HairKidd.dmi;8;20;40;32x32;224x192;
Hair\HairKylin1.dmi;8;20;35;32x32;192x192;
Hair\HairKylin2.dmi;8;23;62;32x32;256x256;
Hair\HairKylin3.dmi;8;20;35;32x32;192x192;
Hair\HairMuse.dmi;8;20;40;32x32;224x192;
Hair\HairPonytail.dmi;7;19;34;32x32;192x192;
Hair\HairRen.dmi;8;23;38;32x32;224x192;
Hair\HairShaggy.dmi;8;23;38;32x32;224x192;
Hair\HairShortFemale.dmi;7;19;34;32x32;192x192;
Hair\Hair_Caulifla.dmi;10;25;46;32x32;224x224;
Hair\Hair_Cloud.dmi;9;24;39;32x32;224x192;
Hair\Hair_Cloud2.dmi;8;20;35;32x32;192x192;
Hair\Hair_FemaleLong.dmi;8;23;63;32x32;256x256;
Hair\Hair_FemaleLong2.dmi;8;23;63;32x32;256x256;
Hair\Hair_FemBroly.dmi;9;24;45;32x32;224x224;
Hair\Hair_FutureGohan.dmi;8;23;38;32x32;224x192;
Hair\Hair_Gohan.dmi;8;23;62;32x32;256x256;
Hair\Hair_Goku.dmi;8;23;63;32x32;256x256;
Hair\Hair_Goten.dmi;8;23;63;32x32;256x256;
Hair\Hair_GTTrunks.dmi;8;23;63;32x32;256x256;
Hair\Hair_GTVegeta.dmi;8;23;63;32x32;256x256;
Hair\Hair_Kale.dmi;8;20;35;32x32;192x192;
Hair\Hair_KidGohan.dmi;8;23;62;32x32;256x256;
Hair\Hair_KidGohan2.dmi;8;20;35;32x32;192x192;
Hair\Hair_Long.dmi;8;23;62;32x32;256x256;
Hair\Hair_Lyndis.dmi;10;28;56;32x32;256x224;
Hair\Hair_MasteredUltraInstinct.dmi;10;31;46;32x32;224x224;
Hair\Hair_Messy.dmi;8;20;35;32x32;192x192;
Hair\Hair_Mohawk.dmi;8;23;63;32x32;256x256;
Hair\Hair_Ponytail.dmi;8;20;35;32x32;192x192;
Hair\Hair_Raditz.dmi;9;27;66;32x32;288x256;
Hair\Hair_Raim.dmi;9;24;39;32x32;224x192;
Hair\Hair_Raphtalia.dmi;4;10;22;32x32;160x160;
Hair\Hair_Ronin.dmi;8;20;35;32x32;192x192;
Hair\Hair_Roxas.dmi;9;27;42;32x32;224x192;
Hair\Hair_Spike.dmi;8;23;63;32x32;256x256;
Hair\Hair_Spiked2right.dmi;8;20;35;32x32;192x192;
Hair\Hair_Stylish.dmi;8;23;35;32x32;192x192;
Hair\Hair_Toushiro.dmi;8;20;35;32x32;192x192;
Hair\Hair_Trump.dmi;8;20;41;32x32;224x192;
Hair\Hair_UltraInstinct.dmi;10;31;46;32x32;224x224;
Hair\Hair_Vegeta.dmi;8;23;62;32x32;256x256;
Hair\Hair_Wavy.dmi;9;24;43;32x32;224x224;
Hair\Hair_Yamcha.dmi;8;23;62;32x32;256x256;
Hair\Hair_Zelos.dmi;8;23;38;32x32;224x192;
Hair\Hope FFXIII Hair.dmi;9;24;57;32x32;256x256;
Hair\Inferno Hair.dmi;7;16;31;32x32;192x192;
Hair\Mezu Hair.dmi;9;24;69;32x32;288x256;
Hair\VegitoHairPVP.dmi;8;23;38;32x32;224x192;
hotkeys\Ability.dmi;3;3;3;32x32;64x64;
hotkeys\Emptyhotbaricon.dmi;1;1;1;58x58;58x58;
hotkeys\flighticon.dmi;1;1;1;32x32;32x32;
hotkeys\iconless.dmi;1;1;1;32x32;32x32;
hotkeys\unorthicon.dmi;1;1;1;32x32;32x32;
Misc\AFK.dmi;1;1;2;32x32;64x32;
Misc\AndroidScraps.dmi;6;13;13;32x32;128x128;
Misc\Asteroid5112013.dmi;1;1;16;128x128;512x512;
Misc\Black Hole.dmi;3;3;32;32x32;192x192;
Misc\Blood Spray.dmi;1;1;3;32x32;64x64;
Misc\bloodbag.dmi;2;2;2;32x32;64x32;
Misc\blue portal.dmi;1;1;4;78x78;156x156;
Misc\BlueOrb64x64.dmi;1;1;64;64x64;512x512;
Misc\BlueOrb96x96.dmi;1;1;64;96x96;768x768;
Misc\Boat.dmi;2;8;16;32x32;128x128;
Misc\bobber.dmi;5;5;15;32x32;128x128;
Misc\Body Parts Bloodless.dmi;10;10;10;32x32;128x96;
Misc\Body Parts Bloody.dmi;10;10;10;32x32;128x96;
Misc\Body Parts.dmi;4;13;13;32x32;128x128;
Misc\BodyParts.dmi;1;8;8;32x32;256x32;
Misc\Brick.dmi;1;1;1;32x32;32x32;
Misc\Bullet.dmi;1;1;1;32x32;32x32;
Misc\CD.dmi;2;8;20;32x32;160x128;
Misc\CellEgg.dmi;2;2;2;32x32;64x32;
Misc\CellLarva.dmi;1;4;16;32x32;128x128;
Misc\CellLarvaBlue.dmi;1;4;16;32x32;128x128;
Misc\colorableport.dmi;1;1;4;100x100;200x200;
Misc\corpse.dmi;2;2;2;32x32;64x32;
Misc\crack.dmi;2;2;2;32x32;64x32;
Misc\CrackFire.dmi;1;1;1;32x32;32x32;
Misc\Crimbus Balls.dmi;8;8;8;32x32;96x96;
Misc\Crimson Cloud.dmi;1;1;4;128x128;256x256;
Misc\Critical.dmi;1;1;3;32x32;64x64;
Misc\DamagedGround.dmi;2;2;2;32x32;64x32;
Misc\DarkPortal100x100.dmi;1;1;4;100x100;200x200;
Misc\dbvalternate.dmi;1;1;1;300x240;300x240;
Misc\DeadZone.dmi;1;1;16;32x32;128x128;
Misc\dish.dmi;1;1;1;103x96;103x96;
Misc\dragonball.dmi;8;8;8;32x32;96x96;
Misc\Dragonballs.dmi;8;8;8;32x32;96x96;
Misc\droidarm.dmi;5;20;44;32x32;224x224;
Misc\dust.dmi;1;1;8;32x32;96x96;
Misc\Egg.dmi;1;1;1;32x32;32x32;
Misc\EmeraldShard.dmi;1;1;4;32x32;64x64;
Misc\Exploded.dmi;2;2;27;32x32;192x160;
Misc\Explosion.dmi;1;1;6;32x32;96x64;
Misc\flashtrans.dmi;2;5;30;32x32;192x160;
Misc\food.dmi;7;7;7;32x32;96x96;
Misc\Foods.dmi;103;103;103;32x32;352x320;
Misc\genericarm.dmi;5;20;36;32x32;192x192;
Misc\Giant Hole.dmi;1;1;1;32x32;32x32;
Misc\Graves.dmi;6;6;6;32x32;96x64;
Misc\Green Emerald.dmi;3;3;3;64x64;128x128;
Misc\Halo.dmi;8;20;71;32x32;288x256;
Misc\Heal Tank.dmi;7;7;20;32x32;160x128;
Misc\HellSpiral.dmi;1;1;4;100x100;200x200;
Misc\HolyPendant.dmi;1;1;1;32x32;32x32;
Misc\iconless.dmi;1;1;1;32x32;32x32;
Misc\Icons.dmi;3;3;3;32x32;64x64;
Misc\InfinityStones.dmi;6;6;6;32x32;96x64;
Misc\Jesus.dmi;1;1;1;64x89;64x89;
Misc\key.dmi;1;1;1;32x32;32x32;
Misc\Ki Particle.dmi;1;1;5;32x32;96x64;
Misc\kikohocrater.dmi;1;1;1;121x123;121x123;
Misc\KikohoDust.dmi;3;3;15;122x34;244x272;
Misc\KikohoExplosion.dmi;1;1;13;158x213;790x639;
Misc\Kintoun.dmi;1;1;2;32x32;64x32;
Misc\KiWater.dmi;2;2;4;32x32;64x64;
Misc\Ki_Blaster.dmi;1;1;1;32x32;32x32;
Misc\Kryptonite.dmi;1;1;4;32x32;128x32;
Misc\LandMineExplosion.dmi;2;2;26;158x213;948x1065;
Misc\large_fish.dmi;1;1;1;32x32;32x32;
Misc\Lightningflash.dmi;1;1;6;32x32;192x32;
Misc\LightningStrike.dmi;3;3;6;32x32;192x32;
Misc\LSD.dmi;1;1;3;32x32;96x32;
Misc\medicon.dmi;1;1;4;32x32;64x64;
Misc\Might Fruit.dmi;1;1;1;32x32;32x32;
Misc\Misc.dmi;31;31;161;32x32;416x416;
Misc\Misc2.dmi;11;11;14;32x32;128x128;
Misc\Misc3.dmi;6;6;6;32x32;96x64;
Misc\Moon.dmi;3;3;10;32x32;320x32;
Misc\Moon2.dmi;3;3;26;32x32;192x160;
Misc\Moonicon.dmi;2;2;2;128x128;256x128;
Misc\msword.dmi;3;3;3;144x128;288x256;
Misc\musician.dmi;19;28;28;32x32;192x160;
Misc\nocharacter.dmi;1;1;1;32x32;32x32;
Misc\PDA.dmi;1;1;5;32x32;96x64;
Misc\Planets.dmi;15;15;18;128x128;640x512;
Misc\Plants.dmi;3;3;3;32x32;64x64;
Misc\PoolofBlood.dmi;1;1;1;32x32;32x32;
Misc\Portal.dmi;9;9;36;32x32;192x192;
Misc\porunga144.dmi;1;1;1;93x143;93x143;
Misc\porunga200x307.dmi;1;1;1;200x307;200x307;
Misc\PrisonRay.dmi;1;1;4;32x32;64x64;
Misc\props.dmi;14;14;16;32x32;128x128;
Misc\purple portal.dmi;1;1;4;128x128;256x256;
Misc\ramen.dmi;1;1;1;32x32;32x32;
Misc\ResourceRocks.dmi;4;4;4;27x25;54x50;
Misc\ReviveAltar.dmi;1;1;1;46x46;46x46;
Misc\reviveshards.dmi;1;1;1;32x32;32x32;
Misc\Rice.dmi;1;1;1;32x32;32x32;
Misc\rockexplosion.dmi;1;1;19;157x229;785x916;
Misc\RPMode.dmi;2;2;2;32x32;64x32;
Misc\Saiba Seed.dmi;1;1;1;32x32;32x32;
Misc\satellite.dmi;1;1;1;96x64;96x64;
Misc\SaySpark.dmi;1;1;5;32x32;160x32;
Misc\Scouter.dmi;6;15;54;32x32;256x224;
Misc\SealingJar.dmi;2;2;2;32x32;64x32;
Misc\Senzu.dmi;1;1;1;32x32;32x32;
Misc\SenzuBean.dmi;1;1;1;32x32;32x32;
Misc\shenron320x222.dmi;1;1;1;320x222;320x222;
Misc\Shield Big.dmi;1;1;9;32x32;96x96;
Misc\ShieldBlue.dmi;2;2;10;32x32;320x32;
Misc\ShikonJewel.dmi;10;10;60;32x32;256x256;
Misc\Ship.dmi;1;1;1;128x138;128x138;
Misc\Shockwavecustom128.dmi;2;2;10;128x128;512x384;
Misc\Shockwavecustom256.dmi;2;2;10;256x256;1024x768;
Misc\Shockwavecustom512.dmi;2;2;10;512x512;2048x1536;
Misc\Shockwavecustom64.dmi;2;2;10;64x64;256x192;
Misc\Shooting Star.dmi;2;8;16;32x32;128x128;
Misc\Shovel.dmi;1;1;1;32x32;32x32;
Misc\Skeleton Key.dmi;1;1;1;32x32;32x32;
Misc\smallasteroid.dmi;1;1;1;50x50;50x50;
Misc\smalldish.dmi;1;1;1;51x48;51x48;
Misc\Soul Gems.dmi;7;7;7;32x32;96x96;
Misc\Spirit Energy.dmi;1;1;4;32x32;64x64;
Misc\Spirit.dmi;1;1;5;32x32;96x64;
Misc\Super DragonBalls 7.dmi;70;70;70;32x32;288x256;
Misc\TeleporterSparkle.dmi;1;1;5;32x32;96x64;
Misc\TimeFreeze.dmi;1;1;4;32x32;128x32;
Misc\Tornado.dmi;1;1;2;32x32;64x32;
Misc\Turret.dmi;5;19;27;32x32;192x160;
Misc\WaterOverlay.dmi;9;15;38;32x32;224x192;
Misc\Whirlpool.dmi;1;1;4;32x32;64x64;
Misc\WhisStaff.dmi;1;1;1;32x32;32x32;
Misc\wishorbs.dmi;8;8;8;32x32;96x96;
Misc\Yemma Fruit.dmi;1;1;1;32x32;32x32;
Misc\Zanzoken.dmi;1;1;3;32x32;64x64;
Misc\ZenniIcon.dmi;1;1;4;32x32;64x64;
NPCs\!!!bankman v10.dmi;28;49;118;32x32;352x352;
NPCs\Animal Bat.dmi;1;4;12;32x32;128x96;
NPCs\Animal Cow.dmi;9;30;53;32x32;256x224;
NPCs\Animal DinoBird.dmi;1;4;8;32x32;96x96;
NPCs\Animal Lion.dmi;1;4;16;32x32;128x128;
NPCs\Animal, Frog.dmi;8;20;62;32x32;256x256;
NPCs\AnimalBat.dmi;1;4;12;32x32;128x96;
NPCs\AnimalFrog.dmi;8;20;62;32x32;256x256;
NPCs\Animals.dmi;3;6;16;32x32;128x128;
NPCs\Big Broly.dmi;8;20;63;32x64;352x384;
NPCs\Boss Delta X2.dmi;11;29;76;32x32;288x288;
NPCs\Character - Odahviing.dmi;9;24;81;96x96;864x864;
NPCs\CoreDemon.dmi;12;33;146;32x32;416x384;
NPCs\Darkrai2.dmi;8;20;46;32x32;224x224;
NPCs\Dbzpunk.dmi;8;32;64;32x32;256x256;
NPCs\Delta X.dmi;11;29;62;32x32;256x256;
NPCs\Delta X2.dmi;11;29;62;32x32;256x256;
NPCs\DemonWolf.dmi;8;20;40;32x32;224x192;
NPCs\dinomunky.dmi;4;10;21;32x32;160x160;
NPCs\dog.dmi;15;57;208;32x32;480x448;
NPCs\Doll.dmi;9;24;45;32x32;224x224;
NPCs\Dragon 2.dmi;7;16;39;32x32;224x192;
NPCs\Dragon2.dmi;6;18;60;32x32;256x256;
NPCs\Evil Man.dmi;1;4;8;32x32;96x96;
NPCs\Gargoyle.dmi;1;4;4;32x32;64x64;
NPCs\Giant Robot 2.dmi;2;8;20;32x32;160x128;
NPCs\Giant Robot.dmi;2;8;36;32x32;192x192;
NPCs\GochekAndroid.dmi;8;23;72;32x32;288x256;
NPCs\Gochekbots.dmi;5;20;64;32x32;256x256;
NPCs\GochekMonster.dmi;7;45;91;32x32;320x320;
NPCs\GreenSaibaman.dmi;1;4;12;32x32;128x96;
NPCs\Guard1.dmi;11;32;40;50x50;350x300;
NPCs\Ice Monster.dmi;1;4;8;32x32;96x96;
NPCs\Ice Robot.dmi;1;4;12;32x32;128x96;
NPCs\IceMonster.dmi;1;4;8;32x32;96x96;
NPCs\IceRobot.dmi;1;4;12;32x32;128x96;
NPCs\Interceptor.dmi;9;27;84;32x32;320x288;
NPCs\Knight.dmi;5;11;26;32x32;192x160;
NPCs\NPC Dragon 1.dmi;1;4;8;32x32;96x96;
NPCs\NPC Reptile Monster.dmi;7;19;55;32x32;256x224;
NPCs\NPC Scorpion 2.dmi;4;13;33;32x32;192x192;
NPCs\NPC Scorpion.dmi;1;4;4;32x32;64x64;
NPCs\NPC Skeleton.dmi;1;4;8;32x32;96x96;
NPCs\NPC Snake.dmi;2;8;16;32x32;128x128;
NPCs\NPC Spider 2.dmi;4;13;47;32x32;224x224;
NPCs\NPC Spider 3.dmi;1;4;16;32x32;128x128;
NPCs\NPC Spider.dmi;2;8;16;32x32;128x128;
NPCs\NPC Virus Android.dmi;8;20;41;32x32;224x192;
NPCs\NPCChicken.dmi;4;13;29;32x32;192x160;
NPCs\NPCDragon1.dmi;1;4;8;32x32;256x32;
NPCs\NPCDragon2.dmi;7;16;39;32x32;224x192;
NPCs\NPCLittleDemon.dmi;1;4;4;32x32;64x64;
NPCs\NPCReptileMonster.dmi;7;19;55;32x32;256x224;
NPCs\NPCScorpion.dmi;1;4;4;32x32;128x32;
NPCs\NPCScorpion2.dmi;4;13;33;32x32;192x192;
NPCs\NPCSheep.dmi;8;20;38;32x32;224x192;
NPCs\NPCSkeleton.dmi;1;4;8;32x32;256x32;
NPCs\NPCSnake.dmi;2;8;16;32x32;128x128;
NPCs\NPCSpider3.dmi;1;4;16;32x32;128x128;
NPCs\NPCSquirrel.dmi;1;4;12;32x32;128x96;
NPCs\NPCVirusAndroid.dmi;8;20;41;32x32;224x192;
NPCs\Oozarou.dmi;3;12;36;32x32;192x192;
NPCs\PossessedSpiritDoll.dmi;10;28;71;32x32;288x256;
NPCs\redrobot.dmi;16;52;137;64x64;768x768;
NPCs\Robot Big.dmi;7;22;41;32x32;224x192;
NPCs\Robot Hover.dmi;7;22;49;32x32;224x224;
NPCs\Robot.dmi;7;22;41;32x32;224x192;
NPCs\Saibaman - Form 1.dmi;11;32;114;32x32;352x352;
NPCs\Saibaman.dmi;6;12;27;32x32;192x160;
NPCs\Shadow mob.dmi;8;23;120;32x32;352x352;
NPCs\shadow.dmi;1;1;1;32x32;32x32;
NPCs\Small Saiba.dmi;6;12;39;32x32;224x192;
NPCs\Spider Small.dmi;3;12;36;32x32;192x192;
NPCs\Tiger Bandit.dmi;5;14;41;32x32;224x192;
NPCs\Tiger Man.dmi;1;4;8;32x32;96x96;
NPCs\Turtle.dmi;4;10;26;32x32;192x160;
NPCs\Vampire Lord.dmi;10;28;62;32x32;256x256;
NPCs\Wolf.dmi;1;4;8;32x32;96x96;
Techniques\Ball - Spirit Bomb.dmi;2;2;5;60x60;180x120;
Techniques\Ball - Supernova.dmi;2;2;5;128x128;384x256;
Techniques\BasenioBlast.dmi;1;1;7;32x32;224x32;
Techniques\Beam - Kamehameha.dmi;10;37;41;32x32;224x192;
Techniques\Beam - Masenko.dmi;6;21;33;32x32;192x192;
Techniques\Beam - Multi-Beam.dmi;12;42;62;32x32;256x256;
